repo_name,file_id,commit_count,churn_added,churn_deleted,total_churn,file_age_days,days_since_last_change,recent_7d_commits,recent_30d_commits,late_night_commits,late_night_ratio,weekend_commits,weekend_ratio,active_days,avg_commits_per_active_day,max_commits_one_day,burstiness_score,bug_fix_commits,bug_label
activestate-code,data/repos/activestate-code/recipes/Python/580812_Shoelace_Formulpolygonal/recipe-580812.py,1,4,0,4,3260,3260,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/576559_Fast_prime_generator/recipe-576559.cpp,1,57,0,57,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/576565_null_null/recipe-576565.cpp,1,1,0,1,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/576752_Monitor_standby/recipe-576752.cpp,1,17,0,17,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/576827_Karatsuba_algorithm/recipe-576827.cpp,1,137,0,137,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577457_Astar_Shortest_Path_Algorithm/recipe-577457.cpp,1,292,0,292,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577461_Hopfield_Artificial_Neural/recipe-577461.cpp,1,190,0,190,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577480_Huffman_Data_Compression/recipe-577480.cpp,1,861,0,861,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577481_File_Uniter/recipe-577481.cpp,1,153,0,153,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577552_Binary_Search_Tree/recipe-577552.cpp,1,224,0,224,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577828_Binary_Search_Tree/recipe-577828.cpp,1,224,0,224,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577849_Volume_Slicer_/recipe-577849.cpp,1,160,0,160,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577899_Faster_prime_generator/recipe-577899.cpp,1,83,0,83,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577966_Even_faster_prime_generator/recipe-577966.cpp,1,66,0,66,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/577985_Automatic_PythPyObject_refcount_management_C/recipe-577985.cpp,1,56,0,56,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/578602_Elementary_regex_without_third_party/recipe-578602.cpp,1,37,0,37,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/578825_Trinary_Tree/recipe-578825.cpp,1,111,0,111,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/578945_Numbers_Ranges__iterable/recipe-578945.cpp,1,21,0,21,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/578967_BoostPythcallback_triggered_NonPythcreated/recipe-578967.cpp,1,33,0,33,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/580612_MicroXml_Standalone_library_basic_XML/recipe-580612.cpp,1,529,0,529,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C++/580688_Hopfield_Artificial_Neural/recipe-580688.cpp,1,190,0,190,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
